productId,sku,productCode,productName,category,sourceArchive,sourcePath,sourceChecksum,targetFilename,mappingMethod,confidence,status,notes
"cmrnl0d3504qqtaeczkyyi59z","CLN-000027","PC100","Wiper Small","Cleaning","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_wiper_small._centered/screen.png","8c296b51eaa4c5479997cb317f94aeeccdbcf86f360357fa6d97b7ce3c22fda0","cln-000027-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; token overlap; confidence below threshold"
"cmrnl05nt02butaecsdkzafbs","SKN-000037","PC100","JOY PURE NEEM FACEWASH","Skin Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_joy_pure_neem_facewash./screen.png","da4a231d463812eaf7c0bd098181a2b8a6805b3bcfa9a1794a49b929540f9a6c","skn-000037-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap"
"cmrnl0amj03yataec1vhgbvbq","HAI-000091","PC100","Set wet hair gel","Hair Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_set_wet_hair_gel./screen.png","bf0102f81dc8c06fd70c58b1dc4fac83f0699e62d13abfacbf5aa58fc4fd89f7","hai-000091-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap; category compatible"
"cmrnl0a7h03tetaecfvfuy8t7","PER-000071","PC100","STAY FREE SECURE COTTON","Personal Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_stay_free_secure/screen.png","e14672f42ce81ebcb6214f7ae8e9c9ee646973343f747ba329b1525e714d9ddf","per-000071-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; strong token overlap; confidence below threshold"
"cmrnl08ph03butaeceghwp6an","HOM-000076","PC100","Odomas 55","Home Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_odomas_55_mosquito/screen.png","a1db5da3c95889325ffb85b349215545300fc30dede939804e77003807256a03","hom-000076-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; token overlap; confidence below threshold"
"cmrnl05x802eytaecfrqh8wyu","SKN-000039","PC100","Joy green tea shower gel 250ml","Skin Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_joy_green_tea_shower/screen.png","a54ab19dc3a06812f94e29827d4ee804eb713d48e4a892a74b58107023d2bb6f","skn-000039-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong token overlap; confidence below threshold"
"cmrnl0bfs047utaecxjhq11f1","PER-000075","PC100","TRESEMME HAIR FALLs","Personal Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_tresemme_s_s_shampoo./screen.png","1caa399253a9a369d5e660039c0a3d36a11078a702891f72cfc83188175d4f95","per-000075-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; token overlap; confidence below threshold"
"cmrnl0a8u03tutaecehe5qg4j","HAI-000090","PC100","STREAX HAIR COLOR15","Hair Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_streax_hair_color15./screen.png","c16697351d9e5dc509ab11306c698fee2197a75471fa2c711d4029e6611a7b28","hai-000090-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; strong product name coverage; strong token overlap; category compatible"
"cmrnl09dc03jmtaectaspj6a5","CLN-000020","PC100","Polish brush","Cleaning","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_polish_brush._centered/screen.png","78869f5b617ec0a1d4ef8647f2e3d4a047a99b362b8a4826d2a7a2f5b7a257d1","cln-000020-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","strong product name coverage; token overlap; confidence below threshold"
"cmrnl05bs027utaecx6ui4tlw","ORA-000012","PC100","Himalaya sparkling Toothpaste 150gm","Oral Care","stitch_ai_product_image_generator.zip","stitch_ai_product_image_generator/premium_indian_e_commerce_product_catalogue_packshot_of_himalaya_sparkling/screen.png","2559ee2af765376fb2b44f386dba61f043f09085cdb2ae3b65f7962d8d93a1cf","ora-000012-primary.webp","DETERMINISTIC","REVIEW_REQUIRED","REVIEW_REQUIRED","brand match; token overlap; confidence below threshold"
