productId,sku,productCode,productName,category,brand,quantity,currentImageState,reasonNotMapped,recommendedFilename,suggestedFutureAction
"cmrnkzxn9000ytaeclbpu71d3","FOO-000473","PC100","Aata Maggi","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000473.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzxnz0016taeclelhwsqn","FOO-000474","PC100","Achar wala","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000474.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzxon001etaechye0am2s","SKN-000001","PC100","Acnofight Garnier facewash","Skin Care","Acnofight","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","SKN-000001.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzxxf001utaec7ylor77b","HOM-000043","PC100","Agarbatti","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000043.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzxy50022taeciit9c29s","FOO-000476","PC100","Ajwain 100gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000476.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzxyw002ataecm1egmq9r","FOO-000477","PC100","Ajwain 250gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000477.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzxzk002itaec3awdcypr","FOO-000478","PC100","Akhrot 1kg","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000478.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzy0a002qtaecjnip2sv3","FOO-000479","PC100","Akhrot giri 250gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000479.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzy0y002ytaecejx9pb3q","HOM-000044","PC100","Alarm Lock","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000044.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzy1o0036taeclbeavduy","FOO-000480","PC100","All season pasta","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000480.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzy2c003etaecfkcc7bq2","FOO-000481","PC100","Allout +1 combi","Food Items","All Out","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000481.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzy31003mtaecca7ts0f1","HOM-000045","PC100","Allout +2 combi","Home Care","All Out","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000045.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzy3q003utaeci7wqpwsc","FOO-000482","PC100","Allout x2 refills","Food Items","All Out","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000482.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzydr004ataecsgyspn9m","FOO-000483","PC100","Alpenliebe candy","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000483.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzyeg004itaecltjsh8r8","FOO-000484","PC100","Alsi","Food Items","Unbranded","500 g","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000484.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzyfv004ytaecj2mm45vz","FOO-000485","PC100","Amrita ras","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000485.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzygj0056taecifgds2jz","FOO-000486","PC100","Amul ghee","Food Items","Amul","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000486.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzyhv005mtaecizp7kz0u","FOO-000488","PC100","Anjeer","Food Items","Unbranded","1 kg","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000488.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzyj80062taecxh6jirgr","FOO-000490","PC100","Apple cider vinegar","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000490.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzyk1006ataec8q8dl7r7","FOO-000491","PC100","Apsara Platinum Pencils","Food Items","Apsara","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000491.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzylh006qtaeczi5lh9gv","FOO-000493","PC100","Ararot","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000493.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzym8006ytaecaucu374x","FOO-000494","PC100","Ararot","Food Items","Unbranded","1 kg","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000494.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzymx0076taec2sd6say8","FOO-000495","PC100","Arhar daal 1kg","Food Items","Unbranded","1 kg","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000495.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzynl007etaecu2nfb5bm","FOO-000496","PC100","Arhar daal 500gm","Food Items","Unbranded","500 g","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000496.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzytv007mtaecwkwpalr7","DET-000033","PC100","Ariel FL 4l","Detergents","Ariel","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","DET-000033.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzyui007utaeci68fnj3t","DET-000034","PC100","Ariel Front load powder 4+2kg","Detergents","Ariel","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","DET-000034.webp","Capture or approve a product-specific image for this SKU."
